key,"en","pt"
game_title,"Step-a-Pig","Step-a-Pig"
menu_new_game,"New Game","Novo Jogo"
menu_credits,"Credits","Créditos"
menu_exit,"Exit","Sair"
menu_close,"Close","Fechar"
game_lives,"Lives:","Vidas:"
level_1_phrase,"The history of all hitherto existing societies is the history of class struggles.","Até hoje, a história de todas as sociedades é a história das lutas de classes."
level_1_location_date,"Rome, 287 BC","Roma, 287 AC"
level_2_phrase,"Patrician and plebeian, lord and serf, bourgeois and proletarian, oppressor and oppressed","Patrício e plebeu, senhor feudal e servo, burguês e proletário, opressor e oprimido"
level_2_location_date,"France, 1789","França, 1789"
level_3_phrase,"They want you to believe that it will be different now, that the history is over!","Eles querem que você acredite que agora será diferente, que a história acabou!"
level_3_location_date,"?, 2030","?, 2030"
level_4_phrase,"But they create the tools for their own destruction. Even in defeat, victory gets closer!","Mas eles criam as ferramentas de sua própria destruição. Mesmo em derrota, a vitória se aproxíma!"
level_4_location_date,"The final proletarian showdown, 20XX","O último confronto proletário, 20XX"
ending_phrase,"The only thing we have to lose are our shackles, and victory belongs to us! Meanwhile...","A única coisa que temos a perder são nossos grilhões, e a vitória nos pertence! Enquanto isso..."
ending_location_date,"",""
